peak	baseMean	log2FoldChange	lfcSE	pvalue	padj
Il1rn	3369.51243682702	4.73803479756481	0.291993813224913	7.29362865279165e-62	5.42047024778993e-60
Sbds	1048.07523640493	2.39967606576905	0.146482009362384	7.86722245760546e-62	5.78904658423366e-60
Mtmr14	534.21610607991	2.14829794942002	0.131314226357454	7.89274752617849e-62	5.78904658423366e-60
Rabgef1	697.768256539184	2.29463242705341	0.140621047233069	1.93038081796068e-61	1.40667100903602e-59
Slc7a11	2219.65852890791	5.09669232438844	0.314742225804911	2.8682532512278e-61	2.07661535388893e-59
Gnaq	2785.0230273138	1.53013045688284	0.0941697022298154	1.07583420357405e-60	7.7391098926333e-59
Slc16a1	426.12142493275	2.44317615046026	0.150645061206418	1.21665282355345e-60	8.69635540504258e-59
Lpar1	218.117033263721	3.08536912173776	0.190555038394379	1.42833957264184e-60	1.01448270153081e-58
Tnfrsf1b	9073.98365715266	2.02854517050893	0.125648382328528	2.40137087029109e-60	1.69485433373626e-58
Msr1	4154.10598669292	2.7473594480949	0.169976214734851	3.50888014483101e-60	2.46104081158085e-58
Zfp36l2	1257.07630288278	-4.35023929784624	0.273175331261193	6.21616203007126e-60	4.33278076406582e-58
Slc49a4	236.102136165012	3.13420101423064	0.19495950576749	8.24979263104176e-60	5.71476375960189e-58
C9orf72	588.984165286555	2.0553476745542	0.128121260642908	1.27320710271306e-59	8.76560129242086e-58
Notch2	4978.42950650657	1.63713572562021	0.102288925095146	3.89781471697907e-59	2.66715102158165e-57
Csrnp1	211.654709814884	4.45341033543004	0.281713976982856	4.15642248019657e-59	2.82687109531915e-57
Ppp4r2	1413.24078282019	1.97755084533826	0.124938213374806	3.81498246329901e-58	2.5790200724784e-56
Lrp12	2553.89544002126	1.71073015216071	0.108079934019703	5.34751925848696e-58	3.59340485740962e-56
Mki67	1549.22370364435	2.98369880265768	0.188586057568596	6.62696609994998e-58	4.42665556985945e-56
Naa15	1865.96774164073	1.47863293698719	0.093495465647547	1.39091261247406e-57	9.23598895691356e-56
G3bp1	1297.80919578882	1.7437331447208	0.110839631005112	2.27712121267337e-57	1.50316789697768e-55
Abi1	3912.90003775261	1.68463945831408	0.107314941564791	4.50120094007196e-57	2.95394602043787e-55
Irak3	654.874022709685	2.38747431448851	0.152223211244898	5.80333190440887e-57	3.78633666460909e-55
Ldha	2366.67380056663	1.19652580440054	0.0758355571356826	6.82464262896927e-57	4.42694448452561e-55
Irf1	1875.87900001058	2.73215226308906	0.174937325969342	2.09239312832201e-56	1.34947331528905e-54
Lacc1	1272.9525139232	2.73479478199184	0.175418229764171	3.22842615012368e-56	2.0702513289536e-54
Nup54	401.160832482841	2.44167543460115	0.156900278853769	4.22686718854538e-56	2.69510815851456e-54
Irs2	276.581569356991	3.73870025706147	0.242484948377598	4.49674742431744e-56	2.85098867772262e-54
Ptch1	281.034329217273	3.27777933869447	0.21191832870301	8.62855777010346e-56	5.43986939865736e-54
Dusp2	311.111536694946	5.65892540509816	0.366500785673486	1.69997678939022e-55	1.0657619849462e-53
Tnfsf15	764.141547498116	5.03265073098248	0.328192466247428	1.92616577090525e-55	1.20085734894993e-53
Prdm1	360.014607028604	2.12808064940941	0.137953438303191	2.27893517245454e-55	1.41293980692181e-53
Stat5a	679.497957544722	3.39501854700522	0.221361581848914	4.54518262695703e-55	2.8025296395446e-53
Tnip1	2825.70209841634	3.481714419704	0.227293581885204	4.62910534918756e-55	2.83867870101545e-53
Sav1	1306.19271346463	1.79905425022993	0.117596995904531	1.75542652544053e-54	1.0706193732877e-52
St3gal1	1998.99994272314	1.86137517661426	0.121857572933023	2.30410726789673e-54	1.39765901407227e-52
Osgin2	486.507166591701	2.96314231213694	0.193666029436056	2.33614602178018e-54	1.40947476647404e-52
Tma16	455.348193740911	3.63458633722649	0.239592701374925	2.78007752954112e-54	1.66834385221981e-52
Snx10	2699.06122162421	1.62189349319204	0.106109847943626	3.34023596469239e-54	1.99383659552011e-52
Nfkbib	266.947302878504	3.47356064956794	0.229055769127003	4.97324591518294e-54	2.95289765397794e-52
