peak	baseMean	log2FoldChange	lfcSE	pvalue	padj
Sema4d	3347.82092338983	-0.66544089889813	0.107062320692272	4.41713454912677e-12	5.33148140079601e-10
Dagla	10.172329355943	-3.325730027269	0.549194870500785	5.72603313786522e-12	6.84289306673595e-10
Abcg1	716.550225621258	-0.960333843688736	0.153709997615027	9.58605477749112e-12	1.13434981533645e-09
Ttc14	530.871075570504	-0.675885989956436	0.111401127828869	1.10348773566746e-11	1.29311621063168e-09
Ankrd33b	153.301758266136	1.92584865207392	0.308050275943633	1.27530039117714e-11	1.48008420399116e-09
Tut4	8.84929932432967	-5.19753156230474	0.804873730476499	1.52538958561517e-11	1.75147329530041e-09
Atp6v0a1	1637.4975116162	0.645063742151012	0.106908839590327	1.53816213174684e-11	1.75147329530041e-09
Eeig2	2149.14708246272	-0.567198737017683	0.0926111674709968	1.62581071390008e-11	1.83397526324991e-09
Lsp1	1218.67259203239	2.15620184499324	0.354907186136258	1.86456004792843e-11	2.0838184980089e-09
Gnai3	2112.14589559896	-0.487475421466205	0.0780776170968665	1.89051431962079e-11	2.0934410860388e-09
Zfp263	2161.84533741361	-0.629338947906763	0.104878356837913	2.07309996586798e-11	2.27475605345696e-09
Phf11a	36.4862323764942	-1.89665467521228	0.306804099334445	2.11492378732828e-11	2.27920804580825e-09
Acsl1	5758.77208456874	-0.568590454464703	0.0935052083246714	2.10805099262642e-11	2.27920804580825e-09
Cybb	34773.5977036446	-0.428194132064827	0.0679993168522607	2.39611423236478e-11	2.55938927297725e-09
Skil	1408.30068112047	-0.774533761839892	0.130477129691195	2.64257097611483e-11	2.79787997207948e-09
Slc30a7	415.430553254526	-0.573474938115699	0.0953501776470585	3.03361051082937e-11	3.18397207527918e-09
Ssh2	336.148296248141	0.709261775822228	0.122152257425028	5.27626606208128e-11	5.39699418384077e-09
Pde8a	324.541710932838	1.00797342761111	0.16801945655224	5.27255439239194e-11	5.39699418384077e-09
Fos	316.884741095994	-0.911366313500798	0.153795149234955	5.26690486276299e-11	5.39699418384077e-09
Tmem154	630.707711914906	1.13170700230737	0.186968251978304	5.54536986773718e-11	5.62458943727628e-09
Stx16	406.973791958085	-0.629486386490184	0.108166438120257	6.3136193051065e-11	6.35044875105295e-09
Peli2	230.15518628886	0.748268351403948	0.130150560173721	7.6617142267666e-11	7.6427182410804e-09
Pank1	34.5776518072425	1.40717136609581	0.234044234488676	9.40031764231966e-11	9.30015032318019e-09
Gbp5	4120.12855557309	-1.0960212583623	0.184383292942119	9.64373892471456e-11	9.46340884726055e-09
Akr1b8	36.148912175345	-1.75673163355775	0.296185042501314	1.26052210257222e-10	1.22697594984248e-08
Txndc16	233.41453968541	0.57481498732252	0.0996282309253671	1.32647873220726e-10	1.28084786381933e-08
Ints6l	186.158628438779	0.668136342372	0.118304412093367	1.47361117060264e-10	1.41162593882332e-08
Cd53	8745.11901914435	-0.613540078092984	0.107786711335257	1.51099178424695e-10	1.43603707368981e-08
Cd74	61.2725352437697	-1.24543409951858	0.210743909838093	1.53983785002374e-10	1.45201897263957e-08
Zcchc14	40.1392936457699	1.67002007424275	0.28265750641271	1.60616292874713e-10	1.50016788308221e-08
Rnf19b	1466.43514090767	-0.476976997139718	0.0806550061992908	1.615756626352e-10	1.50016788308221e-08
