Symbol	KO_L_C01_REP1	KO_L_C01_REP2	KO_L_C01_REP3	KO_L_C24_REP1	KO_L_C24_REP3	KO_N_C01_REP1	KO_N_C01_REP2	KO_N_C01_REP3	KO_N_C24_REP1	KO_N_C24_REP3	WT_L_C00_REP1	WT_L_C00_REP2	WT_N_C00_REP1	WT_N_C00_REP2	WT_N_C00_REP3
Znhit3	5.3427784757035	5.32314612879206	5.5083858340339	5.25275903550239	5.77046161145129	5.20225337695244	4.67502857227103	4.86379831711133	5.02048270643448	4.76568750650076	6.49444111079513	6.07966846779448	4.52695658446719	4.97163071097063	4.35815908614816
Znhit2	3.47444306620093	2.76541801791132	3.76057838289622	4.06131764076795	4.11928989938131	4.07609054613653	4.67502857227103	4.42386109726515	4.28404742477097	3.94437257605097	4.05296505537546	3.72016033701366	4.30148627504741	3.99141894646447	4.31665891281618
Znhit1	6.17804713152383	6.64790389381603	6.47239767105259	6.45155887273613	6.40566994287273	6.14175935977231	6.39620977972143	6.29095391977883	6.20761727349599	6.32055938962701	6.23884739319118	6.73009602867552	6.41597406062182	6.38522721450479	6.34067507912343
Zng1	6.17804713152383	6.58901640011816	6.26810022196953	6.33048007367397	6.5926494155333	5.74770207304604	5.28723247797374	5.56846100610353	5.65119540046484	5.91346920883181	6.66015940706033	6.90251136550502	5.52720906699983	6.02529602146774	5.80761966850817
Znfx1	11.8817375072565	12.1279336759961	12.1475595860616	11.883178589064	11.4365309008166	11.3072067388224	11.4368360547509	11.6116325776289	11.1944635777184	10.6489152536384	11.823400296497	11.7730153304758	12.023105928538	11.9833713764451	11.9641631411657
Zmynd8	6.62049975384928	6.93470270238717	7.1670782118282	7.30312581510849	7.43929958754066	9.7403731632277	9.70980933506991	9.76828473013513	9.97695318586693	10.031657211954	6.23884739319118	6.15964464742685	8.68303595201486	8.77677026219013	8.65897621052172
Zmynd19	6.41621443209809	6.55864408351481	6.65126552042748	6.98589555961347	6.64189594235823	6.06306238596759	5.45956719992398	5.89299707450447	5.93312219408499	5.60586561609049	6.89993879106245	6.90251136550502	5.93291080347954	5.87315362131234	5.92042609367026
Zmynd15	3.97215186082374	3.75658817983169	3.84030464364941	4.90776034930277	4.49366500983198	1.63628512020582	2.7939723906934	1.63628512020582	4.28404742477097	3.39050169142121	3.13253906726493	3.47500435742811	2.7276806399234	2.47619581994552	2.2482574986802
Zmynd12	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	1.63628512020582	2.19165317164039	1.63628512020582	1.63628512020582
Zmynd11	9.50887306459183	9.25557109439902	9.3877719202111	9.3475893770832	9.54647776729671	8.58849312504565	8.724028811102	8.8040389721658	8.7962476671421	9.08987814736841	9.48947527702751	9.23955040751173	8.73291485645592	8.80675790911197	8.82170673642453
